,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
0,Aboriginal and Torres Strait Islander PhD Scholarships,AQ Aboriginal & Torres Strait Islander PhD Scholarships 2018-19 Round 4,Central Queensland University,Norman Gardens,4701.0,, BHP Billiton,Decolonising the systematic barriers and enablers of Indigenous career progression in MiningCo (BHP). An Aboriginal perspective - Terry Bell,Brisbane City,4001.0,,14/06/2019,Rockhampton (R),Brisbane and Redlands,Keppel,107084.0
1,Aboriginal and Torres Strait Islander PhD Scholarships,AQ Aboriginal & Torres Strait Islander PhD Scholarships 2015-16 Round 1,Griffith University,Nathan,4111.0,,,An indigenous journey through the 21st century educational landscapes of new metrics - Troy Meston,Nathan,4111.0,,28/01/2016,Brisbane (C),Brisbane and Redlands,Toohey,117500.0
2,Aboriginal and Torres Strait Islander Research Fellowships,AQ Aboriginal & Torres Strait Islander Research Fellowships 2017-18 Round 3,Queensland University of Technology,Brisbane City,4000.0,, Engineered Wood Products Association Australasia Ltd,An Innovative Framing System for Taller Timber-Framed Buildings – Craig Cowled,Brisbane City,4000.0,,21/08/2018,Brisbane (C),Brisbane and Redlands,McConnel,240000.0
3,Aboriginal and Torres Strait Islander Research Fellowships,AQ Aboriginal & Torres Strait Islander Research Fellowships 2015-16 Round 1,CSIRO,Smithfield,4878.0,, CSIRO,Transforming hidden data: An integrative information system for Torres Strait - Cass Hunter,Smithfield,4878.0,,28/01/2016,Cairns (R),Far North Queensland,Barron River,158032.0
4,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Redland City Council,Cleveland,4163.0,," Community Information Support Services Ltd 
 Logan City Council 
 Redland City Chamber Of Commerce Inc 
 Global Community Resourcing Pty Ltd 
 Social Enterprise Network Logan Limited 
 TAFE Queensland Brisbane 
 Griffith University - Logan Campus - Master 
 YFS Ltd",Growing innovation in the Redlands and Logan region,Cleveland,4163.0,"Meadowbrook, Alexandra Hills, Springwood",21/09/2017,Redland (C),Brisbane and Redlands,Oodgeroo,500000.0
5,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Tablelands Regional Council,Atherton,4883.0,," Natural Evolution Pty Ltd 
 Farmer Meets Foodie 
 James Cook University (JCU) 
 AusIndustry 
 iiHub Ltd 
 Rural And Remote Innovation Australia (RRIA) Inc 
 Telstra Corporation Limited 
 YEP Entrepreneurship Facilitators Cairns",Tablelands Innovation Program,Atherton,4883.0,,11/11/2020,Tablelands (R),Far North Queensland,Hill,45000.0
6,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Sunshine Coast Regional Council,Maroochydore,4558.0,," Noosa Shire Council 
 University of the Sunshine Coast 
 Central Queensland University - Noosa Campus Master 
 Regional Development Australia Sunshine Coast Incorporated 
 Suncentral Maroochydore Pty Ltd 
 The Old Ambulance Station (Sunshine Coast Arts Industry Precinct Inc.) 
 Innovate Noosa Inc. 
 BDO Australia Limited 
 Suncare Community Services Ltd 
 Stockland Corporation Ltd 
 Australia And New Zealand Banking Group Limited t/a ANZ 
 Telstra Corporation Limited 
 Innovation Centre Sunshine Coast Pty Ltd",Sunshine Coast Regional Innovation Program #SCRIPT,Maroochydore,4558.0,"Sippy Downs, Nambour, Tewantin",2/06/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,500000.0
7,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Smart Precinct NQ Limited,Townsville City,4810.0,,,"North Queensland Investment, Innovation & Industry Catalyst",Townsville City,4810.0,,2/07/2020,Townsville (C),Townsville,Townsville,500000.0
8,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Staged 2016-17,Wide Bay Burnett Regional Organisation of Councils Inc.,Gympie,4570.0,," University of the Sunshine Coast 
 The Generator Bundaberg Pty Ltd 
 Mt Rawdon Operations Pty Ltd 
 Red Earth Community Foundation South Burnett Limited 
 Berwin Ltd",Develop a Collaborative Action Plan and advise on the submission of a subsequent full application for the Wide Bay Burnett region ((LINKED TO AQARIPFULL00216-17),Gympie,4570.0,,19/01/2017,Gympie (R),Wide Bay,Gympie,20000.0
9,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Wide Bay Burnett Regional Organisation of Councils Inc.,Gympie,4570.0,," University of the Sunshine Coast 
 Fraser Coast Regional Council 
 Bundaberg Regional Council 
 The Generator Bundaberg Pty Ltd 
 Community Lifestyle Support Ltd 
 Gympie Regional Council 
 Gympie Chamber Of Commerce Inc 
 Ag & Industry Pty Ltd trading as Kandanga Farm Store 
 Gympie & District Home For The Aged Inc trading as Cooinda Aged Care Centre 
 Mary Valley Chamber of Commerce Inc. 
 South Burnett Regional Council 
 Kingaroy Chamber Of Commerce & Industry Inc 
 P.J Howlett & R.J Howlett 
 BGA Agriservices Ltd 
 Peanut Company Of Australia Limited 
 Burnett Water Services 
 North Burnett Regional Council 
 Burnett Inland Economic Development Organisation Inc 
 University Of Southern Queensland 
 AGL Energy Limited 
 Berwin Ltd 
 Central Queensland University - Bundaberg Campus - Master 
 Bundaberg Enterprise Centre Association Inc",Delivering Innovation in the Wide Bay Burnett Region (LINKED TO AQARIPSTAGED00116-17),Gympie,4570.0,"Gayndah, Kingaroy",17/07/2017,Gympie (R),Wide Bay,Gympie,478330.0
