,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
76,Female Founders Program,,Advisory Board Centre Pty Ltd,Brisbane City,4000.0,,,Provision of Innovation Services Contract No. DITID 26-19,Brisbane City,4000.0,,4/03/2023,Brisbane (C),Brisbane,McConnel,76500.0
77,Female Founders Program,,Impact Innovation Group Pty Ltd,Brisbane City,4000.0,,,Provision of Innovation Services Contract No. DITID 25-19,Brisbane City,4000.0,,5/03/2019,Brisbane (C),Brisbane,McConnel,1452855.0
78,Female Founders Program,Round 1,SBE Australia Limited,"Bondi Junction, NSW",,,,SBE Evolve,Fortitude Valley,4006.0,,22/09/2021,NonQueensland,Brisbane,NonQueensland,30000.0
79,Female Founders Program,Scrunch Program,Scrunch Enterprises Pty Ltd,West End,4101.0,,,Female Founders Scrunch Program,West End,4101.0,,7/08/2020,Brisbane (C),Brisbane,South Brisbane,95409.0
456,Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Bivacor Pty Ltd,Wilston,4051.0,,,Development of a wearable patient controller for pulsatile operation of a rotary total artificial heart in women and children,Wilston,4051.0,,9/03/2017,Brisbane (C),Brisbane and Redlands,Stafford,250000.0
634,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Queensland University of Technology - Translational Research Institute,Woolloongabba,4102.0,," Metro South Hospital and Health Service - Princess Alexandra Hospital 
 Metro North Hospital and Health Service - Royal Brisbane and Women's Hospital 
 Allysta Pharmaceuticals Inc 
 Arrevus Inc 
 Translational Research Institute (TRI)","Preventing the respiratory failure causing COVID-19 mortality, potent new drugs targeting hyperinflammation – Lisa Philp",Woolloongabba,4102.0,"Princess Alexandra Hospital, Woolloongabba, Queensland; Royal Brisbane and Women's Hospital, Herston, Queensland",16/07/2020,Brisbane (C),Brisbane and Redlands,South Brisbane,150000.0
653,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Queensland University of Technology,Brisbane City,4000.0,," Panda Healthcare Pty Ltd 
 Metro North Hospital and Health Service - Royal Brisbane and Women's Hospital 
 Sri Medical Devices and Healthcare Solutions Pty Ltd",Antiviral and antibacterial surfaces using nanotechnology for Queensland hospitals – Alka Jaggessar,Brisbane City,4000.0,"Panda Healthcare Pty Ltd (Bonogin, QLD), Royal Brisbane and Women's Hospital (Herston, QLD), Institute for Health and Biomedical Innovation (Kelvin Grove, QLD), and Sri Medical Devices and Healthcare Solutions Pty Ltd (Brookfield, QLD).",16/07/2020,Brisbane (C),Brisbane and Redlands,McConnel,120000.0
676,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland - RBWH - Herston,Herston,4029.0,," The Royal Brisbane and Women's Hospital 
 Princess Alexandra Hospital 
 Department of Health - Forensic and Scientific Services 
 Department of Health - Pathology Queensland",Automating Infectious Disease Surveillance with Artificial Intelligence - Brian Forde ,Herston,4029.0,,16/07/2020,Brisbane (C),Brisbane and Redlands,Maiwar,300000.0
700,Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University of Technology,Kelvin Grove,4059.0,, Metro North Hospital and Health Service - Royal Brisbane and Women's Hospital,A protocol to assess chest pain in the Emergency Department-Jaimi Greenslade,Herston,4006.0,,22/10/2018,Brisbane (C),Brisbane and Redlands,McConnel,297375.0
752,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000.0,," 3D Industries Pty Ltd 
 Royal Brisbane and Women's Hospital Foundation - Master 
 Translational Research Institute 
 Biofabrication Design Solutions Pty Ltd",Additive Biomanufacturing Technology Platform,Brisbane City,4000.0,,6/09/2016,Brisbane (C),Brisbane and Redlands,McConnel,705000.0
